test_id,issue,wbs_code,iso_25010_characteristic,verification_layer,test_design_technique,requirement_summary,evidence_artifact,wave1_status,reviewer
QA-01-T-001,459,QA-01,functional_suitability,L1+L2,equivalence_partitioning,Master test plan covers all ISO 25010 characteristics,verification-evidence/qa/QA-01-master-test-plan.md,enforced-wave1,code-review
QA-01-T-002,459,QA-01,functional_suitability,L1,doc_review,Traceability matrix is complete for P0 scope,verification-evidence/qa/QA-01-traceability-matrix.csv,enforced-wave1,opus-qa
QA-01-T-003,459,QA-01,maintainability,L1,doc_review,Quality thresholds documented per characteristic,verification-evidence/qa/QA-01-quality-thresholds.md,enforced-wave1,code-review
QA-01-T-004,459,QA-01,maintainability,L1,doc_review,docs/04-verification-plan.md references QA-01 artifacts,docs/04-verification-plan.md §12a,enforced-wave1,code-review
QA-01-T-005,459,QA-01,interaction_capability,L3+L5,use_case,Keyboard shortcut surface and help panel covered by quality thresholds,verification-evidence/qa/QA-01-quality-thresholds.md §4,enforced-wave1,code-review
QA-01-T-006,459,QA-01,flexibility,L2,equivalence_partitioning,Provider trait swappability covered by quality thresholds,verification-evidence/qa/QA-01-quality-thresholds.md §9,enforced-wave1,code-review
QA-01-T-007,459,QA-01,safety,L2+L4,error_guessing,Translated audio + cost-counter hazard warnings covered by quality thresholds,verification-evidence/qa/QA-01-quality-thresholds.md §10,enforced-wave1,code-review
TEST-01-T-001,460,TEST-01,functional_suitability,L2,use_case,Audio fixture replayer drives pipeline headlessly,verification-evidence/test/TEST-01-simulation-harness-plan.md,enforced-wave1,code-review
TEST-01-T-002,460,TEST-01,functional_suitability,L2,boundary_value_analysis,Evidence schema validates simulation output,verification-evidence/test/TEST-01-evidence-schema.json,enforced-wave1,code-review
TEST-01-T-003,460,TEST-01,reliability,L4,error_guessing,Soak file-source mode emits schema-versioned JSON,verification-evidence/test/TEST-01-evidence-schema.json,enforced-wave1,code-review
TEST-01-T-004,460,TEST-01,portability,L2,equivalence_partitioning,file_source.rs scaffold compiles cross-platform headlessly,tests/**,enforced-wave1,code-review
TEST-01-T-005,460,TEST-01-b,reliability,L2,error_guessing,Provider mock returns 429/503/slow responses (deferred to TEST-01b),successor-issue,enforced-from-w2,code-review
TEST-02-T-001,474,TEST-02,portability,L2,use_case,Linux simulation plan documents fixture+probe approach,verification-evidence/test/TEST-02-linux-simulation.md,enforced-wave1,code-review
TEST-02-T-002,474,TEST-02-b,portability,L2,use_case,Probe binary + fixture scripts + JSON evidence (deferred to TEST-02b),successor-issue,enforced-from-w2,code-review
CI-01-T-001,461,CI-01,maintainability,L1,equivalence_partitioning,Tampering Cargo.lock causes --locked jobs to fail,.github/workflows/ci.yml,enforced-wave1,code-review
CI-01-T-002,461,CI-01,portability,L1+L2,equivalence_partitioning,Required feature combos compile on macOS+Windows,verification-evidence/ci/CI-01-matrix-run-url.json,enforced-wave1,code-review
CI-01-T-003,461,CI-01,portability,L1,error_guessing,Beta toolchain failure is allowed-fail only where documented,verification-evidence/ci/CI-01-required-checks.md,enforced-wave1,code-review
CI-01-T-004,461,CI-01,compatibility,L2,state_transition,VMIC hardware-dependent jobs remain skip-safe with evidence,verification-evidence/ci/CI-01-matrix-run-url.json,enforced-wave1,code-review
CI-01-T-005,461,CI-01,security,L1,equivalence_partitioning,No existing Windows gate is weakened by matrix expansion,.github/workflows/ci.yml,enforced-wave1,opus-qa
QA-02-T-001,476,QA-02,portability,L2+L3,use_case,Linux portability plan covers ALSA/PulseAudio/PipeWire capture surfaces,verification-evidence/qa/QA-02-linux-portability-plan.md,enforced-wave1,code-review
QA-02-T-002,476,QA-02,portability,L5,error_guessing,Release-time Linux evidence noted as deferred follow-up,verification-evidence/qa/QA-02-linux-portability-plan.md,enforced-from-w2,code-review
LINUX-01-T-001,468,LINUX-01,portability,L2,doc_review,Linux capture backend ADR records decision and rationale,verification-evidence/linux/linux-01-spike-decision.md,enforced-wave1,code-review
LINUX-01-T-002,468,LINUX-01,portability,L2,doc_review,Measurement JSON inlined or recorded as deferred follow-up,verification-evidence/linux/linux-01-spike-decision.md,enforced-wave1,code-review
MACOS-01-T-001,450,MACOS-01,portability,L2+L5,use_case,macOS spike documents AVAudioEngine vs ScreenCaptureKit decision,verification-evidence/macos/macos-01-*,enforced-wave1,code-review
MACOS-01-T-002,450,MACOS-01,compatibility,L5,use_case,macOS spike records hardware caveats and reviewer notes,verification-evidence/macos/macos-01-*,enforced-wave1,code-review
