Issue | magicpro97/tui-translator#23 | state=OPEN | hr=1 | epic=1 | [EPIC] WP-23 — Post-v1 Feature — Ollama Local Translation Post-Processing
Issue | magicpro97/tui-translator#22 | state=OPEN | hr=0 | epic=1 | [EPIC] WP-22 — Post-v1 Feature — Azure Provider Integration
Issue | magicpro97/tui-translator#21 | state=OPEN | hr=1 | epic=1 | [EPIC] WP-21 — Post-v1 Validation — Per-Process Audio Capture (Zoom-Only Loopback)
Issue | magicpro97/tui-translator#20 | state=OPEN | hr=1 | epic=1 | [EPIC] WP-20 — Post-v1 Validation — gRPC Streaming STT
Issue | magicpro97/tui-translator#19 | state=OPEN | hr=1 | epic=1 | [EPIC] WP-19 — Human Acceptance Testing on Real Hardware (Verification Layer 5)
Issue | magicpro97/tui-translator#95 | state=CLOSED | hr=0 | epic=0 | [P0] WP-15.02 — The CI job runs on windows-latest (GitHub-hosted Windows runner) and includes
Issue | magicpro97/tui-translator#115 | state=OPEN | hr=1 | epic=0 | [P2] WP-19.02 — Conduct L5-1 through L5-6 using real hardware (two Windows machines for the Zoom…
Issue | magicpro97/tui-translator#116 | state=OPEN | hr=1 | epic=0 | [P2] WP-19.03 — Run L5-1 subtitle accuracy review
Issue | magicpro97/tui-translator#117 | state=OPEN | hr=1 | epic=0 | [P2] WP-19.04 — Run L5-2 bilingual translation review
Issue | magicpro97/tui-translator#118 | state=OPEN | hr=1 | epic=0 | [P2] WP-19.05 — Validate L5-3 translated audio toggle
Issue | magicpro97/tui-translator#119 | state=OPEN | hr=1 | epic=0 | [P2] WP-19.06 — Verify L5-4 terminal compatibility matrix
Issue | magicpro97/tui-translator#120 | state=OPEN | hr=1 | epic=0 | [P2] WP-19.07 — Run L5-5 non-developer onboarding review
Issue | magicpro97/tui-translator#121 | state=OPEN | hr=1 | epic=0 | [P2] WP-19.08 — Run L5-6 live meeting readability review
Issue | magicpro97/tui-translator#122 | state=OPEN | hr=1 | epic=0 | [P2] WP-19.09 — Sign and date the acceptance log
Issue | magicpro97/tui-translator#366 | state=OPEN | hr=1 | epic=0 | verification: recruit and schedule named Layer 5 human reviewers
Issue | magicpro97/tui-translator#368 | state=OPEN | hr=0 | epic=1 | [EPIC] LF â€” Local-first defaults, storage, and offline provider readiness
Issue | magicpro97/tui-translator#376 | state=OPEN | hr=0 | epic=1 | [EPIC] DM â€” Dual-provider transcript mode with side-by-side A/B panes
Issue | magicpro97/tui-translator#384 | state=OPEN | hr=0 | epic=0 | DM-08 â€” Dual-mode docs and config examples
Issue | magicpro97/tui-translator#385 | state=OPEN | hr=0 | epic=1 | [EPIC] HC â€” Hot config without restart
Issue | magicpro97/tui-translator#392 | state=OPEN | hr=0 | epic=1 | [EPIC] SM â€” Realtime storage metrics for transcripts and audio archive
Issue | magicpro97/tui-translator#449 | state=OPEN | hr=0 | epic=1 | [EPIC] MACOS-WBS — macOS support, live controls, models, virtual mic, QA, CI/CD, and release roadmap
Issue | magicpro97/tui-translator#450 | state=OPEN | hr=0 | epic=0 | MACOS-01 — Spike: macOS capture API, TCC, CoreAudio/BlackHole, and ScreenCaptureKit decision
Issue | magicpro97/tui-translator#451 | state=OPEN | hr=0 | epic=0 | MACOS-02 — Implement macOS CoreAudio/BlackHole capture MVP
Issue | magicpro97/tui-translator#452 | state=OPEN | hr=0 | epic=0 | MACOS-03 — Implement ScreenCaptureKit system-audio capture and permission preflight
